epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.157,1.2236,2.15248,1.56768,0.34936,0.40974,0.31025,0.20533,1.17461,1.81069,1.63792,0.00027608,0.00027608,0.00027608
2,241.753,1.16817,1.47187,1.46612,0.42287,0.45171,0.34342,0.21466,1.31574,1.49979,1.88511,0.000542782,0.000542782,0.000542782
3,336.149,1.17162,1.43875,1.46711,0.43676,0.3779,0.27179,0.1617,1.45182,1.87999,1.89233,0.000798489,0.000798489,0.000798489
4,429.553,1.12323,1.34304,1.42579,0.33272,0.51326,0.41861,0.29521,1.09287,1.17638,1.57491,0.00078352,0.00078352,0.00078352
5,523.687,1.06859,1.2635,1.3888,0.36112,0.6201,0.44076,0.32153,0.99989,0.99139,1.43713,0.000767026,0.000767026,0.000767026
6,617.363,1.02727,1.21847,1.35609,0.38507,0.56347,0.44572,0.32595,0.95395,1.03704,1.38255,0.000750533,0.000750533,0.000750533
7,720.322,1.00427,1.16545,1.33845,0.41705,0.62456,0.47931,0.35967,0.94264,0.96888,1.38163,0.00073404,0.00073404,0.00073404
8,817.361,0.98333,1.14581,1.32651,0.3996,0.5928,0.50188,0.3862,0.88934,0.91814,1.32373,0.000717546,0.000717546,0.000717546
9,914.279,0.96895,1.12595,1.31159,0.46922,0.58457,0.51414,0.39647,0.89051,0.9417,1.32461,0.000701053,0.000701053,0.000701053
10,1008.15,0.95233,1.09735,1.30407,0.46554,0.60853,0.54321,0.41992,0.8867,0.87455,1.31217,0.000684559,0.000684559,0.000684559
11,1103.35,0.93704,1.07306,1.28856,0.46986,0.60018,0.52395,0.4064,0.85288,0.87822,1.29341,0.000668066,0.000668066,0.000668066
12,1198.11,0.92608,1.0651,1.28554,0.50644,0.56822,0.54784,0.43558,0.82567,0.84575,1.25652,0.000651573,0.000651573,0.000651573
13,1292.28,0.91516,1.03881,1.27458,0.52563,0.59267,0.56131,0.4431,0.84299,0.83483,1.26251,0.000635079,0.000635079,0.000635079
14,1386.03,0.90846,1.02576,1.27097,0.50641,0.61162,0.57794,0.45809,0.82322,0.82463,1.25513,0.000618586,0.000618586,0.000618586
15,1480.14,0.89881,1.01662,1.26091,0.44211,0.65088,0.55372,0.44377,0.79546,0.82257,1.21934,0.000602092,0.000602092,0.000602092
16,1573.46,0.88803,0.99353,1.25819,0.53483,0.63083,0.59841,0.47434,0.80188,0.7982,1.24176,0.000585599,0.000585599,0.000585599
17,1667.22,0.8791,0.98912,1.25152,0.51499,0.60858,0.56439,0.4457,0.84162,0.80966,1.26429,0.000569106,0.000569106,0.000569106
18,1761,0.87122,0.96937,1.24279,0.54943,0.59175,0.57459,0.45762,0.79906,0.7996,1.23099,0.000552612,0.000552612,0.000552612
19,1853.89,0.85785,0.96055,1.23197,0.54471,0.6151,0.58654,0.46974,0.76423,0.78222,1.19858,0.000536119,0.000536119,0.000536119
20,1947.07,0.85544,0.94392,1.23229,0.61407,0.56851,0.60397,0.48398,0.77499,0.76905,1.212,0.000519625,0.000519625,0.000519625
21,2040.61,0.84704,0.93269,1.22355,0.5635,0.58795,0.60993,0.49234,0.76322,0.78005,1.18867,0.000503132,0.000503132,0.000503132
22,2134.66,0.83292,0.91926,1.21766,0.55386,0.60358,0.60802,0.49242,0.77217,0.77088,1.20427,0.000486639,0.000486639,0.000486639
23,2228.57,0.82942,0.90938,1.21336,0.57287,0.55997,0.59375,0.47906,0.77114,0.7713,1.20344,0.000470145,0.000470145,0.000470145
24,2321.64,0.82535,0.89711,1.21279,0.55014,0.63189,0.60499,0.49288,0.77667,0.76346,1.2117,0.000453652,0.000453652,0.000453652
25,2415.07,0.82055,0.88486,1.20282,0.59312,0.61224,0.63091,0.51172,0.75974,0.76002,1.18348,0.000437158,0.000437158,0.000437158
26,2508.71,0.81094,0.87142,1.20258,0.59747,0.60959,0.62349,0.50807,0.76493,0.74813,1.18712,0.000420665,0.000420665,0.000420665
27,2601.79,0.80733,0.86166,1.19884,0.57031,0.6364,0.63489,0.51257,0.75991,0.73956,1.18322,0.000404172,0.000404172,0.000404172
28,2695.18,0.80102,0.8524,1.19473,0.61258,0.60983,0.62157,0.51097,0.75236,0.75197,1.17721,0.000387678,0.000387678,0.000387678
29,2788.11,0.7918,0.83655,1.18789,0.59552,0.5958,0.62021,0.50347,0.7438,0.75357,1.1733,0.000371185,0.000371185,0.000371185
30,2881.09,0.78247,0.82308,1.17805,0.59985,0.60564,0.63658,0.5192,0.76423,0.75638,1.18707,0.000354691,0.000354691,0.000354691
